ID;Class;my_class;my_class2
1;Foresta;Floresta;Área nativa
3;Formação Florestal;Floresta;Área nativa
4;Formação Savânica ;Floresta;Área nativa
5;Mangue ;Floresta;Área nativa
49;Restinga Arborizada;Floresta;Área nativa
10;Formação Natural não Florestal;Área nativa;Área nativa
11;Campo Alagado e Área Pantanosa ;Área nativa;Área nativa
12;Formação Campestre ;Área nativa;Área nativa
32;Apicum ;Área nativa;Área nativa
29;Afloramento Rochoso ;Área nativa;Área nativa
13;Outras Formações não Florestais ;Área nativa;Área nativa
14;Agropecuária ;Agricultura;Agricultura
15;Pastagem ;Pastagem ;Pastagem 
18;Agricultura ;Agricultura;Agricultura
19;Lavoura Temporária ;Agricultura;Agricultura
39;Soja ;Agricultura;Agricultura
20;Cana ;Agricultura;Agricultura
40;Arroz ;Agricultura;Agricultura
41;Outras Lavouras Temporárias;Agricultura;Agricultura
36;Lavoura Perene ;Agricultura;Agricultura
46;Café ;Agricultura;Agricultura
47;Citrus ;Agricultura;Agricultura
48;Outras Lavouras Perenes;Agricultura;Agricultura
9;Floresta Plantada ;Silvicultura;Silvicultura
21;Mosaico de Agricultura e Pastagem ;Agricultura;Agricultura
22;Área não Vegetada;Outros;Outros
23;Praia, Duna e Areal;Área nativa;Área nativa
24;Área urbanizada;Área urbana;Área urbana
30;Mineração;Mineracao;Mineração
25;Outras áreas não vegetadas;Área nativa;Área nativa
26;Corpos D'água;Água;Água
33;Rio Lago e Oceano;Água;Água
31;Aquicultura;Outros;Outros
27;Não Observado;NA;NA
