"","coverage.2020","n","area_ha"
"1",0,94282714,8485444.26
"2",3,30734409,2766096.81
"3",4,1206815,108613.35
"4",9,2691287,242215.83
"5",11,87150,7843.5
"6",12,456027,41042.43
"7",13,14831,1334.79
"8",15,39990687,3599161.83
"9",20,495,44.55
"10",21,18512399,1666115.91
"11",23,92,8.28
"12",24,703048,63274.32
"13",25,99216,8929.44
"14",29,1193025,107372.25
"15",30,119497,10754.73
"16",33,731422,65827.98
"17",39,46,4.14
"18",41,732409,65916.81
"19",46,618823,55694.07
"20",49,12088,1087.92
