ID;Class;my_class;my_class2
1;Foresta;Floresta;Área natural
2;Floresta Natural ;Floresta;Área natural
3;Formação Florestal ;Floresta;Área natural
4;Formação Savânica ;Floresta;Área natural
5;Mangue ;Floresta;Área natural
10;Formação Natural não Florestal;Área natural;Área natural
11;Campo Alagado e Área Pantanosa ;Área natural;Área natural
12;Formação Campestre ;Área natural;Área natural
32;Apicum ;Área natural;Área natural
29;Afloramento Rochoso ;Área natural;Área natural
13;Outras Formações não Florestais ;Área natural;Área natural
25;Outras Áreas não Vegetadas;Outros;Outros
26;Corpos D'água;Água;Água
33;Rio Lago e Oceano;Água;Água
